KOD,ÜRÜN,MODEL,MALZEME,KAPLAMA,MİKTAR,A,B,D,L,h,s,BİRİM_PAKET,KATEGORİ
,Kayar Çatı Sistemi (2500-2550-2600),ALULINER,,,1 Set,,,,,,,7500,KAYAR-SABİT ÇATI SİSTEMLERİ
,Kayar Çatı Sistemi (2500-2550-2600),ALUCOMLINER,,,1 Set,,,,,,,9500,KAYAR-SABİT ÇATI SİSTEMLERİ
,Kayar Çatı Sistemi (2500-2550-2600),STEELCOMLINER,,,1 Set,,,,,,,13600,KAYAR-SABİT ÇATI SİSTEMLERİ
,Kayar Çatı Sistemi (Özel Ölçü),STEELINER,,,1 Set,,,,,,,Özel Ölçü,KAYAR-SABİT ÇATI SİSTEMLERİ
,Sabit Çatı Sistemi (2500-2550-2600),ALUCOMLINER,,,1 Set,,,,,,,7500,KAYAR-SABİT ÇATI SİSTEMLERİ
,Sabit Çatı Sistemi (2500-2550-2600),ALUCOMLINER,,,1 Set,,,,,,,9500,KAYAR-SABİT ÇATI SİSTEMLERİ
,Sabit Çatı Sistemi (2500-2550-2600),ALUCOMLINER,,,1 Set,,,,,,,13600,KAYAR-SABİT ÇATI SİSTEMLERİ
,Sabit Çatı Sistemi (Özel Ölçü),ALUCOMLINER,,,1 Set,,,,,,,Özel Ölçü,KAYAR-SABİT ÇATI SİSTEMLERİ
,Alüminyum Ray (Sehim+Termik İşlem),,,,2 Ad,217.5,42,,,,,7500,KAYAR-SABİT ÇATI SİSTEMLERİ
,Alüminyum Ray (Sehim+Termik İşlem),,,,2 Ad,217.5,42,,,,,8100,KAYAR-SABİT ÇATI SİSTEMLERİ
,Alüminyum Ray (Sehim+Termik İşlem),,,,2 Ad,217.5,42,,,,,8500,KAYAR-SABİT ÇATI SİSTEMLERİ
,Alüminyum Ray (Sehim+Termik İşlem),,,,2 Ad,217.5,42,,,,,13600,KAYAR-SABİT ÇATI SİSTEMLERİ
,Alüminyum Ray (Sehim+Termik İşlem),,,,2 Ad,217.5,42,,,,,Özel Ölçü,KAYAR-SABİT ÇATI SİSTEMLERİ
,ACL Pleyt,,,,1 Set,173,250,,,,,,KAYAR-SABİT ÇATI SİSTEMLERİ
,İç Soket - Dış Soket,,,,4+4 Ad,,,,,,,,,KAYAR-SABİT ÇATI SİSTEMLERİ
,Civata+Rondela+Pul,,,,16+16+16 Ad,,,,,,,,,KAYAR-SABİT ÇATI SİSTEMLERİ
,Çatı Gümrük Seti,,,,1 Set,,,,,,,13600,KAYAR-SABİT ÇATI SİSTEMLERİ
,4 mm Çelik Halat - Kırmızı,,,,35m,,,,,,,,,KAYAR-SABİT ÇATI SİSTEMLERİ
,Klemens+Gerdirme Aparatı,,,,4+2 Ad,,,,,,,,,KAYAR-SABİT ÇATI SİSTEMLERİ
,Burç+Çatı Kapsülü+Pim,,,,42+42+42 Ad,,,,,,,,,KAYAR-SABİT ÇATI SİSTEMLERİ
,Alüminyum Ray (Termik İşlem),ALULINER,,,4+4 Ad,55,40,,,,,13600,KAYAR-SABİT ÇATI SİSTEMLERİ
,Alüminyum Ray (Termik İşlem),ALULINER,,,5+5 Ad,55,40,,,,,13600,KAYAR-SABİT ÇATI SİSTEMLERİ
